riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter  
Redmond Gerard,  1,  882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, , , , 
Thom Wijnstra,  282,  142.86, , , NED, , , , , , , , , , , 
Nikita Abozovik,  283,  142.81, , , RUS, , , , , , , , , , , 
Maxwell Eibl,  284,  142.6, , , CAN, , , , , , , , , , , 
Chris Hoffman, , , , , RUS, , , , , , , , , , , 
Jan Jaromin,  286,  140.69, , 18, POL, , , Myslowice, , , , , , , , 
Aidan Coleborrk,  287,  140.63, , , CAN, , , , , , , , , , , 
Connor Cavanagh,  288,  140.28, , , USA, , , , , , , , , , , 
Lukas Behensky,  289,  138.31, , , AUT, , , , , , , , , , , 
Dominik Holzinger,  290,  137.98, , , AUT, , , , , , , , , , , 
Jose Antonio Aragon,  291,  137.43, , , ESP, , , , , , , , , , , 
Riley Zawalykut,  292,  136.84, , , CAN, , , , , , , , , , , 
William Almqvist,  293,  136.68, , , SWE, , , , , , , , , , , 
 IgorTarakanov, 294, 136.39, , 
, RUS, , , , , , , , , , , 
Anthon Bosch,  295,  135.28, Burton Snowboards | , 24, RSA, Regular, 180cm, Transtrand, Kläppen| Sälen, anthonbosch.com, https://www.facebook.com/anthon.bosch, , , , , 
Martin Leleu,  296,  135.25, , , FRA, , , , , , , , , , , 
Jonas Mork Danielsen,  297,  134.68, , , NOR, , , , , , , , , , , 
Raymond Prentice,  298,  134.68, , , GBR, , , , , , , , , , , 
Jace Dibben,  299,  134.47, , 19, CAN, , , , , , , , , , , 
Jared Mortenson,  300,  133.52, , , USA, , , , , , , , , , , 
Marcello Grassis,  301,  132.61, , , ITA, , , , , , , , , , , 
Sikyung Ju,  302,  132.37, , , KOR, , , , , , , , , , , 
Ethen Goebel,  303,  132.36, , , USA, , , , , , , , , , , 
Antti Valjus,  304,  131.57, , , FIN, , , , , , , , , , , 
Manuel Fasola,  305,  131.06, , , ARG, , , , , , , , , , , 
Stian Kronlund,  306,  130.72, , 18, NOR, Regular, , , , , , , , , , 
Jakob Svendsen Tessan,  307,  130.64, , , NOR, , , , , , , , , , , 
Niklas Sukke,  308,  129.99, , , NOR, , , , , , , , , , , 
Jack Coyne,  309,  129.79, Anon Optics | Burton Snowboards | , 18, USA, Regular, , Edwards, , , , , , , , 
Anders Fornes,  310,  129.03, , , NOR, , , , , , , , , , , 
Hudson Ayoubi,  311,  128.81, , , AUS, , , , , , , , , , , 
Wikohika Tui,  312,  128.74, , , NZL, , , , , , , , , , , 
Jumpei Kawashita,  313,  128.4, , , JPN, , , , , , , , , , , 
Boris Mouton,  314,  128.29, Monster Energy | Vans | , 23, SUI, Goofy, 5ft.8in., Bex, Thyon central Camps, , www.facebook.com/boris.mouton, www.twitter.com/borismouton, , , , 
Kim Gyeong Uk,  315,  127.37, Capita | FLUX BINDINGS | 686 | , 19, KOR, Regular, , Changwon, , , , , , , , 
Janko Kolarevic,  316,  127.17, , 23, SRB, , , , , , , , , , , 
Charles-éric D’Astous,  317,  127.07, , 16, CAN, , , , , , , , , , , 
Quentin George,  318,  126.81, , 18, CAN, , , , , , , , , , , 
Kade Martin,  319,  126.71, , , USA, , , , , , , , , , , 
Jaime Castro,  320,  126.28, , , ESP, , , , , , , , , , , 
Henry Burns,  321,  126.17, , , CAN, , , , , , , , , , , 
Felix Reicher,  322,  126, , , AUT, , , , , , , , , , , 
Juhani Huuhtanen,  323,  125.85, , , FIN, , , , , , , , , , , 
Adrian Hovde Pettersen,  324,  125.54, , , NOR, , , , , , , , , , , 
Petar Gyosharkov,  325,  125.51, , 24, BUL, Regular, , Samokov, , , , , , , , 
Joshua Cielen,  326,  125.43, , , CAN, , , , , , , , , , , 
Noe Petit,  327,  124.89, , , FRA, , , , , , , , , , , 
Juan Cachat,  328,  124.59, Vans | , 20, FRA, Goofy, , Thollon Les Memises, , , , , , , , 
Bart Poll,  329,  124.3, , , NED, , , , , , , , , , , 
Ben Buchel,  330,  124.15, , , CAN, , , , , , , , , , , 
Jere Hietikko,  331,  123.85, , , FIN, , , , , , , , , , , 
Aleksander Ostreng,  332,  123.27, Hoppipolla | Monster Energy | Rome | , 29, NOR, Regular, 176cm, Rykkinn, Kirkerudbakken and Geilo, , , , , , , 
Lucas Hendriks,  333,  123.04, , , NED, , , , , , , , , , , 
Bo Roll,  334,  122.31, , , NOR, , , , , , , , , , , 
Niklas Mattsson,  335,  122.15, Colour Wear | Dragon | Rome | Transform Gloves | , 28, SWE, Regular, 186cm, Sundsvall, Sidelake, , , , , , , 
Bodie Heflin,  336,  121.34, , , USA, , , , , , , , , , , 
Emil Frey,  337,  121.25, , , GER, , , , , , , , , , , 
Tom Venderotte,  338,  121.14, , 19, FRA, , , , , , , , , , , 
Kristian Salac,  339,  121, , , CZE, , , , , , , , , , , 
Grant Shambo,  340,  120.93, , , USA, , , , , , , , , , , 
Nanno Hensold,  341,  120.9, , , GER, , , , , , , , , , , 
Valentin Moreno,  342,  120.76, , , ARG, , , , , , , , , , , 
Luis Eckert,  343,  120.72, , 24, GER, Goofy, , , , , , , , , , 
Morris Gifford,  344,  120.15, , , USA, , , , , , , , , , , 
Wei He,  345,  119.96, , , CHN, , , , , , , , , , , 
Niklas Huber,  346,  119.93, , 16, GER, , , , , , , , , , , 
Corben Marchiel,  347,  119.4, , , CAN, , , , , , , , , , , 
Spencer MacAulay,  348,  119.34, , , CAN, , , , , , , , , , , 
Nick Fox,  349,  118.24, , , USA, , , , , , , , , , , 
Gus Sigel,  350,  118.21, , , USA, , , , , , , , , , , 
Marcello Grassis,  301,  132.61, , , ITA, , , , , , , , , , , 
Sikyung Ju,  302,  132.37, , , KOR, , , , , , , , , , , 
Ethen Goebel,  303,  132.36, , , USA, , , , , , , , , , , 
Antti Valjus,  304,  131.57, , , FIN, , , , , , , , , , , 
Manuel Fasola,  305,  131.06, , , ARG, , , , , , , , , , , 
Stian Kronlund,  306,  130.72, , 18, NOR, Regular, , , , , , , , , , 
Jakob Svendsen Tessan,  307,  130.64, , , NOR, , , , , , , , , , , 
Niklas Sukke,  308,  129.99, , , NOR, , , , , , , , , , , 
Jack Coyne,  309,  129.79, Anon Optics | Burton Snowboards | , 18, USA, Regular, , Edwards, , , , , , , , 
Anders Fornes,  310,  129.03, , , NOR, , , , , , , , , , , 
Hudson Ayoubi,  311,  128.81, , , AUS, , , , , , , , , , , 
Wikohika Tui,  312,  128.74, , , NZL, , , , , , , , , , , 
Jumpei Kawashita,  313,  128.4, , , JPN, , , , , , , , , , , 
Boris Mouton,  314,  128.29, Monster Energy | Vans | , 23, SUI, Goofy, 5ft.8in., Bex, Thyon central Camps, , www.facebook.com/boris.mouton, www.twitter.com/borismouton, , , , 
Kim Gyeong Uk,  315,  127.37, Capita | FLUX BINDINGS | 686 | , 19, KOR, Regular, , Changwon, , , , , , , , 
Janko Kolarevic,  316,  127.17, , 23, SRB, , , , , , , , , , , 
Charles-éric D’Astous,  317,  127.07, , 16, CAN, , , , , , , , , , , 
Quentin George,  318,  126.81, , 18, CAN, , , , , , , , , , , 
Kade Martin,  319,  126.71, , , USA, , , , , , , , , , , 
Jaime Castro,  320,  126.28, , , ESP, , , , , , , , , , , 
Henry Burns,  321,  126.17, , , CAN, , , , , , , , , , , 
Felix Reicher,  322,  126, , , AUT, , , , , , , , , , , 
Juhani Huuhtanen,  323,  125.85, , , FIN, , , , , , , , , , , 
Adrian Hovde Pettersen,  324,  125.54, , , NOR, , , , , , , , , , , 
Petar Gyosharkov,  325,  125.51, , 24, BUL, Regular, , Samokov, , , , , , , , 
Joshua Cielen,  326,  125.43, , , CAN, , , , , , , , , , , 
Noe Petit,  327,  124.89, , , FRA, , , , , , , , , , , 
Juan Cachat,  328,  124.59, Vans | , 20, FRA, Goofy, , Thollon Les Memises, , , , , , , , 
Bart Poll,  329,  124.3, , , NED, , , , , , , , , , , 
Ben Buchel,  330,  124.15, , , CAN, , , , , , , , , , , 
Jere Hietikko,  331,  123.85, , , FIN, , , , , , , , , , , 
Aleksander Ostreng,  332,  123.27, Hoppipolla | Monster Energy | Rome | , 29, NOR, Regular, 176cm, Rykkinn, Kirkerudbakken and Geilo, , , , , , , 
Lucas Hendriks,  333,  123.04, , , NED, , , , , , , , , , , 
Bo Roll,  334,  122.31, , , NOR, , , , , , , , , , , 
Niklas Mattsson,  335,  122.15, Colour Wear | Dragon | Rome | Transform Gloves | , 28, SWE, Regular, 186cm, Sundsvall, Sidelake, , , , , , , 
Bodie Heflin,  336,  121.34, , , USA, , , , , , , , , , , 
Emil Frey,  337,  121.25, , , GER, , , , , , , , , , , 
Tom Venderotte,  338,  121.14, , 19, FRA, , , , , , , , , , , 
Kristian Salac,  339,  121, , , CZE, , , , , , , , , , , 
Grant Shambo,  340,  120.93, , , USA, , , , , , , , , , , 
Nanno Hensold,  341,  120.9, , , GER, , , , , , , , , , , 
Valentin Moreno,  342,  120.76, , , ARG, , , , , , , , , , , 
Luis Eckert,  343,  120.72, , 24, GER, Goofy, , , , , , , , , , 
Morris Gifford,  344,  120.15, , , USA, , , , , , , , , , , 
Wei He,  345,  119.96, , , CHN, , , , , , , , , , , 
Niklas Huber,  346,  119.93, , 16, GER, , , , , , , , , , , 
Corben Marchiel,  347,  119.4, , , CAN, , , , , , , , , , , 
Spencer MacAulay,  348,  119.34, , , CAN, , , , , , , , , , , 
Nick Fox,  349,  118.24, , , USA, , , , , , , , , , , 
Gus Sigel,  350,  118.21, , , USA, , , , , , , , , , , 
Kyle Carr,  351,  118.19, , , CAN, , , , , , , , , , , 
Connor Kelly,  352,  117.54, , , CAN, , , , , , , , , , , 
Hyun Jun Lee,  353,  117.32, , , KOR, , , , , , , , , , , 
Yuri Chemodurov,  354,  117.29, , 30, RUS, Goofy, , Yushno-Sakhalinsk, , , , , , , , 
Hanato Minamiya,  355,  116.81, , , JPN, , , , , , , , , , , 
Diego Ceron,  356,  116.72, , 27, CHI, , , , , , , , , , , 
Gian Andrin Biele,  357,  116.55, 015 Boards & Lifestyle | , 17, SUI, , , Stallikon, LAAX, , , , , , , 
Hinata Sakaue,  358,  116.49, , , JPN, , , , , , , , , , , 
Samuel Fejgl,  359,  115.36, , , CZE, , , , , , , , , , , 
Haoyu Liu,  360,  115.24, , , CHN, , , , , , , , , , , 
Charles Gray,  361,  115.18, , , USA, , , , , , , , , , , 
Stephon Bulat,  362,  115, , , CAN, , , , , , , , , , , 
Ilya Baskakov,  363,  114.83, , , RUS, , , , , , , , , , , 
MacIej Zaczyk,  364,  114.15, , , POL, , , , , , , , , , , 
Oscar Ney,  365,  113.86, , , FRA, , , , , , , , , , , 
Donovan Schiele,  366,  113.23, , , CAN, , , , , , , , , , , 
Vojtech Horky,  367,  112.61, , , CZE, , , , , , , , , , , 
Roope Patronen,  368,  111.92, , , FIN, , , , , , , , , , , 
Eito Ishida,  369,  111.69, , , JPN, , , , , , , , , , , 
Kosuke Muranaka,  370,  111.57, , , JPN, , , , , , , , , , , 
Paul Frischhut,  371,  111.39, , , AUT, , , , , , , , , , , 
Jeremy Allen,  372,  110.87, , 18, CAN, , , , , , , , , , , 
Mark Teymurov,  373,  110.57, , 23, RUS, , , , , , , , , , , 
Antoni Toledo,  374,  110.23, , , ESP, , , , , , , , , , , 
Lukas Rodriguez,  375,  110.11, , , ESP, , , , , , , , , , , 
Marten Kikas,  376,  109.82, , , EST, , , , , , , , , , , 
Chase Layzell,  377,  109.46, , 18, CAN, , , , , , , , , , , 
Noah Watson,  378,  109.45, , , CAN, , , , , , , , , , , 
Jonas Berdal,  379,  109.33, , , NOR, , , , , , , , , , , 
Volodymyr Kropov,  380,  109.26, , , UKR, , , , , , , , , , , 
Juho Virsunen,  381,  109.13, , , FIN, , , , , , , , , , , 
Sunny Steele,  382,  108.94, , 16, AUS, , , , , , , , , , , 
Andreas Granli-Sommerud,  383,  108.63, , , NOR, , , , , , , , , , , 
Joshua Robertson-Hahn,  384,  108.58, , , AUS, , , , , , , , , , , 
Youngkyo Won,  385,  107.19, , , KOR, , , , , , , , , , , 
Nayte Brown,  386,  106.66, , , CAN, , , , , , , , , , , 
Maxymilian Jablonski,  387,  106.58, , , CAN, , , , , , , , , , , 
Konstantin Mostovoi,  388,  106.39, , , RUS, , , , , , , , , , , 
Nooa Kervinen,  389,  106.08, , , FIN, , , , , , , , , , , 
Reynar Hlynsson,  390,  105.75, , , ISL, , , , , , , , , , , 
Maddox McCorrister,  391,  105.66, , , CAN, , , , , , , , , , , 
Luca Merimee,  392,  105.48, , , FRA, , , , , , , , , , , 
Charlie Lane,  393,  105.36, , , GBR, , , , , , , , , , , 
Xuesong Gao,  394,  105.32, , , CHN, , , , , , , , , , , 
Colton Eckert,  395,  105.23, , 17, CAN, , , , , , , , , , , 
Kaito Mukai,  396,  104.52, , , JPN, , , , , , , , , , , 
Eliot Pentecote,  396,  104.52, , , FRA, , , , , , , , , , , 
Takuya Uehara,  398,  104.19, , 29, JPN, , , , , , , , , , , 
Xavier Pothier,  399,  102.98, , , CAN, , , , , , , , , , , 
Riku Hirai,  400,  102.35, , , JPN, , , , , , , , , , , 
Lorenzo Peeters,  401,  102.07, Capita | , , BEL, Goofy, , , , , , , , , , 
Walker Netland,  402,  101.91, , , USA, , , , , , , , , , , 
Luka Kamissek,  403,  101.65, , , GER, , , , , , , , , , , 
Peter Lotz,  404,  101.3, , , GER, , , , , , , , , , , 
Tadeas Nedielka,  405,  101.23, , , SVK, , , , , , , , , , , 
Thorbjorn Haug,  406,  101.02, , , NOR, , , , , , , , , , , 
Daia Okajima,  407,  100.96, , , JPN, , , , , , , , , , , 
Tyler Harrison,  408,  100.2, , , CAN, , , , , , , , , , , 
Fredrik Fredlund,  409,  100, , , SWE, , , , , , , , , , , 
Moritz Amsuess,  409,  100, OutOf Goggles | Rip Curl | Santa Cruz | Santo Loco Shop | , 21, AUT, Goofy, , , , , , , , , , 
Tuomas Turpeinen,  411,  99.95, , , FIN, , , , , , , , , , , 
Gyeong Seo,  412,  99.59, , , KOR, , , , , , , , , , , 
Colin Hunter,  413,  99.39, , , CAN, , , , , , , , , , , 
Jaba Skhvediani,  414,  98.9, , , GEO, , , , , , , , , , , 
Narcis Salleras,  415,  98.4, , , ESP, , , , , , , , , , , 
Yannick Boudjelal,  416,  98.15, , 35, DZA, Goofy, , , , , , , , , , 
Mac Rogers,  417,  97.93, , , NZL, , , , , , , , , , , 
Bart Falhaber,  418,  97.82, , , NED, , , , , , , , , , , 
Storm Hafsahl,  419,  97.59, , , NOR, , , , , , , , , , , 
Aatu Partanen,  420,  97.56, , , FIN, , , , , , , , , , , 
Borgthor Johannsson,  421,  96.97, , , ISL, , , , , , , , , , , 
Eric Dovjak,  422,  96.72, , , AUT, , , , , , , , , , , 
Alfred Sutton,  423,  96.47, , , FRA, , , , , , , , , , , 
Mika Schweizer,  424,  96.45,  | , 12, GER, Goofy, 142, Kempten, Allgaeu Valley in Bavaria - Germany, , https://www.facebook.com/groups/1042965525731760/?ref=group_header, , , , , 
Wayu Inokuchi,  425,  96.17, , , JPN, , , , , , , , , , , 
Jiahao Zhang,  426,  95.97, , , CHN, , , , , , , , , , , 
George Cavers,  427,  95.59, , , USA, , , , , , , , , , , 
Sang-Jae Kim,  428,  95.29, , , KOR, , , , , , , , , , , 
Steven Hoeksema,  429,  94.95, , , CAN, , , , , , , , , , , 
Topias Joensuu,  430,  94.71, , , FIN, , , , , , , , , , , 
Emil Sundsvold Bjonness,  430,  94.71, , , NOR, , , , , , , , , , , 
Wenlong Yang,  432,  94.64, , , CHN, , , , , , , , , , , 
Anderson Kallos,  433,  94.6, , , CAN, , , , , , , , , , , 
Jackson Steed,  434,  94.59, , , CAN, , , , , , , , , , , 
Roman Zanka,  435,  94.52, , , CZE, , , , , , , , , , , 
Anton Muhonen,  436,  94.03, , , SWE, , , , , , , , , , , 
Zachary Batchelor,  437,  93.93, , , CAN, , , , , , , , , , , 
Rio Tucker,  438,  93.88, , , CAN, , , , , , , , , , , 
Kaito Jinguuji,  439,  93.87, , , JPN, , , , , , , , , , , 
Morten Kleivdal,  440,  93.85, K2 Snowboarding | Von Zipper | , 29, NOR, Regular, 183, Geilo, Geilo| Norway, , , , , , , 
Christian Christensen,  441,  93.11, , , NOR, , , , , , , , , , , 
Yuuto Saito,  442,  92.36, , , JPN, , , , , , , , , , , 
Leonardo Sitzia,  443,  92.3, , , GER, , , , , , , , , , , 
Petter Teksle,  444,  91.99, , , NOR, , , , , , , , , , , 
Petr Zverina,  445,  91.29, , , CZE, , , , , , , , , , , 
Joseph Jed,  446,  91.1, , , CAN, , , , , , , , , , , 
Genest Alexis,  447,  91.06, , , CAN, , , , , , , , , , , 
Blake Montalvo,  448,  90.87, , , CAN, , , , , , , , , , , 
Roahan Duncan,  449,  90.64, , , GBR, , , , , , , , , , , 
Dante Vera,  450,  90.18, , , ARG, , , , , , , , , , , 
Fuki Oki,  451,  90.11, , , JPN, , , , , , , , , , , 
George Malcolm,  452,  89.97, , , CAN, , , , , , , , , , , 
Jesse James Parkinson,  452,  89.97, Go Pro Cameras | Quiksilver | Skullcandy | , 15, AUS, Regular, , , , , , , , , , 
Rune De Beats,  454,  89.85, , , BEL, , , , , , , , , , , 
Gavin Berghorn,  455,  88.76, , , USA, , , , , , , , , , , 
Nicholas Bridgman,  456,  88.47, Northwave | Smith | , 27, ITA, Goofy, 179, Jesolo Lido, Seiser Alm, , Nicholas Bridgman, , , , , 
Felix Axelsson,  457,  88.23, , , SWE, , , , , , , , , , , 
Nathan Pare,  458,  88.18, , , USA, , , , , , , , , , , 
Tyson Delaurier,  459,  87.85, , , CAN, , , , , , , , , , , 
Cyrus Scanland,  460,  87.17, , , CAN, , , , , , , , , , , 
Lars Häfliger,  461,  87.12, , , SUI, , , , , , , , , , , 
Perron Justin,  462,  87.08, , , CAN, , , , , , , , , , , 
Dillon Henricksen,  463,  86.99, , , USA, , , , , , , , , , , 
Vaclav Toman,  464,  86.19, , 17, CZE, Goofy, , Prague, , , , , , , , 
Maximilian Deutinger,  465,  85.31, , , AUT, , , , , , , , , , , 
Leonhard Schwiersch,  466,  85.26, , , GER, , , , , , , , , , , 
Gabriel Kreienbühl,  467,  85.1, , , SUI, , , , , , , , , , , 
Takeru Mukai,  468,  84.71, , , JPN, , , , , , , , , , , 
Daniel Alkefjaerd,  469,  84.65, Dr.Zipe | , 23, SWE, Regular, , , , , , , , , , 
Juho-Joonas Laine,  470,  84.44, , , FIN, , , , , , , , , , , 
Siarhei Zabela,  471,  84.16, , , BLR, , , , , , , , , , , 
Sigurd Vargdal,  472,  84.11, , , NOR, , , , , , , , , , , 
James Foord-Kelcey,  473,  83.79, , , CAN, , , , , , , , , , , 
Kieran Hicks,  474,  83.79, Lib Technologies | Von Zipper | , 10, CAN, Goofy, , , , , , , , , , 
Connor Todd,  475,  83.7, , , CAN, , , , , , , , , , , 
Jedrzej MacZugowski,  476,  83.38, , , POL, , , , , , , , , , , 
Vegard Ulseth Sylte,  477,  83.36, , , NOR, , , , , , , , , , , 
Jordan MacIsaac,  478,  83.23, , , CAN, , , , , , , , , , , 
Bo Warren,  479,  82.96, Lib Technologies | , 23, USA, , , , , , , , , , , 
Linus Hannibal,  480,  82.56, , , GER, , , , , , , , , , , 
Brooklyn Depriest,  481,  82.24, Volcom | , 14, USA, Regular, , Rocklin, , , , , , , , 
Yuki Fujiwara,  482,  82.09, , , JPN, , , , , , , , , , , 
Cesar Barin,  483,  82.06, , , FRA, , , , , , , , , , , 
Cesare Girotto,  484,  81.91, , , ITA, , , , , , , , , , , 
Jacob Nickel,  485,  81.85, , , CAN, , , , , , , , , , , 
Timo Krall,  486,  81.72, , , AUT, , , , , , , , , , , 
Kamal Eldood,  487,  81.37, , , CAN, , , , , , , , , , , 
Mauro Soic,  488,  80.98, , , CRO, , , , , , , , , , , 
Joao Plur De La Rosa,  489,  80.69, , 10, GER, , , , , , , , , , , 
Simon Mikalsen Ostby,  490,  80.63, , , NOR, , , , , , , , , , , 
Maxson Chen,  491,  80.36, , , AUS, , , , , , , , , , , 
Jules Buraud,  492,  79.85, , , FRA, , , , , , , , , , , 
Mason Hamilton,  493,  79.62, , , CAN, , , , , , , , , , , 
Wyatt Ernst,  494,  79.51, , , CAN, , , , , , , , , , , 
Chris Magee,  495,  78.83, , , USA, , , , , , , , , , , 
Maxim Lebedev,  496,  78.8, , , CZE, , , , , , , , , , , 
Kale Ostapovich,  497,  78.77, , , CAN, , , , , , , , , , , 
Todor Jovic,  498,  78.4, , , SRB, , , , , , , , , , , 
Connor Kelly,  499,  78.39, , , USA, , , , , , , , , , , 
Cam Melville Ives,  500,  78.05, , , NZL, , , , , , , , , , , 
Petter Karoliussen,  501,  77.97, , , NOR, , , , , , , , , , , 
Ethan Inman,  502,  77.91, , , CAN, , , , , , , , , , , 
Jonas Kroell,  503,  77.69, , , AUT, , , , , , , , , , , 
Pedro Pizarro,  504,  77.62, , , CHI, , , , , , , , , , , 
Toranosuke Yonemura,  505,  77.34, , , JPN, , , , , , , , , , , 
Derek Lemke,  506,  77.15, , , USA, , , , , , , , , , , 
Markus Vognild Rustad,  507,  77.02, , 24, NOR, Regular, , Oslo, , , , , , , , 
Paul Pfrommer,  508,  76.95, , , GER, , , , , , , , , , , 
Chase Argue,  509,  76.93, , , CAN, , , , , , , , , , , 
Miki Pajer,  510,  76.81, Analog | Anon Optics | Burton Snowboards | , 23, CZE, Goofy, , , , , , , , , , 
Amar Karahasanovic,  511,  76.5, , , BIH, , , , , , , , , , , 
Hyobin Kim,  512,  76.38, , , KOR, , , , , , , , , , , 
Indiana Wilson,  513,  76.23, , , CAN, , , , , , , , , , , 
Carter Kaemingh,  514,  76.08, , , CAN, , , , , , , , , , , 
Ville Jukola,  515,  75.88, , , FIN, , , , , , , , , , , 
Niels Billiet,  516,  75.55, , , BEL, , , , , , , , , , , 
Samu Ahonen,  517,  75.44, , , FIN, , , , , , , , , , , 
Teruki Yoshida,  518,  75.41, , , JPN, , , , , , , , , , , 
Alexander Dale Nyqvist,  519,  75.08, , , NOR, , , , , , , , , , , 
Jalen Brandsoy,  520,  74.16, , , USA, , , , , , , , , , , 
Lewis Moore,  521,  74.05, , , GBR, , , , , , , , , , , 
Maximilian Bender,  522,  73.75, , , GER, , , , , , , , , , , 
Birkir Thor Arason,  523,  73.73, , , ISL, , , , , , , , , , , 
Lasse Steffensen,  524,  73.48, , , NOR, , , , , , , , , , , 
Karlo Deriban,  525,  73.47, , , MKD, , , , , , , , , , , 
Harald Gietzler,  526,  73.4, , , AUT, , , , , , , , , , , 
Daniel Paulicek,  527,  73.26, , 27, CZE, , , , , , , , , , , 
Edis Ozturk,  528,  72.52, , , BIH, , , , , , , , , , , 
Tate Schiele,  529,  72.52, , , CAN, , , , , , , , , , , 
Keita Fukami,  530,  71.93, , , JPN, , , , , , , , , , , 
Lukas Leuenberger,  531,  71.85, , , SUI, , , , , , , , , , , 
Cobi Campbell,  532,  71.42, , , CAN, , , , , , , , , , , 
Jet Hughes,  533,  71.4, , , NZL, , , , , , , , , , , 
Nahuel Springinsfeld,  534,  71.18, , , ARG, , , , , , , , , , , 
Kwang-Ki Lee,  534,  71.18, , 27, KOR, Goofy, 155cm, Gyeonggi-Do, , , , , , , , 
Jayce Downs,  536,  70.68, , , CAN, , , , , , , , , , , 
Evan Wrobel,  537,  70.42, , , USA, , , , , , , , , , , 
Zebastian Landmark,  538,  70.03, 32 Snowboard Boots | Lib Technologies | Union Bindings | , 29, SWE, Regular, 189, Leksand, kläppen, , , , , , , 
Baptiste Couderc,  539,  69.73, , , FRA, , , , , , , , , , , 
Gytis Vebra,  540,  69.66, , , LTU, , , , , , , , , , , 
Haavard Hagen,  541,  69.47, , , NOR, , , , , , , , , , , 
Ville Ikola,  542,  68.95, , , FIN, , , , , , , , , , , 
Griffin Levy,  543,  68.93, , , CAN, , , , , , , , , , , 
Charlie Bergantino,  544,  68.88, , , USA, , , , , , , , , , , 
Joyal Vincent,  545,  68.86, , , CAN, , , , , , , , , , , 
Thom Vogel,  546,  68.8, , , NED, , , , , , , , , , , 
Wesley Muresan,  547,  68.58, , , USA, , , , , , , , , , , 
Vicente Banados,  548,  68.31, , , CHI, , , , , , , , , , , 
Keitaro Hiraoka,  549,  67.81, , 21, JPN, Regular, 160cm, Osaka, Whistler, , https://www.facebook.com/profile.php?id=100005018760366&fref=ts, , , , , 
Jan Golinczak,  550,  67.58, , 13, POL, Goofy, , Warsaw, , , , , , , , 
Petter Karoliussen,  501,  77.97, , , NOR, , , , , , , , , , , 
Ethan Inman,  502,  77.91, , , CAN, , , , , , , , , , , 
Jonas Kroell,  503,  77.69, , , AUT, , , , , , , , , , , 
Pedro Pizarro,  504,  77.62, , , CHI, , , , , , , , , , , 
Toranosuke Yonemura,  505,  77.34, , , JPN, , , , , , , , , , , 
Derek Lemke,  506,  77.15, , , USA, , , , , , , , , , , 
Markus Vognild Rustad,  507,  77.02, , 24, NOR, Regular, , Oslo, , , , , , , , 
Paul Pfrommer,  508,  76.95, , , GER, , , , , , , , , , , 
Chase Argue,  509,  76.93, , , CAN, , , , , , , , , , , 
Miki Pajer,  510,  76.81, Analog | Anon Optics | Burton Snowboards | , 23, CZE, Goofy, , , , , , , , , , 
Amar Karahasanovic,  511,  76.5, , , BIH, , , , , , , , , , , 
Hyobin Kim,  512,  76.38, , , KOR, , , , , , , , , , , 
Indiana Wilson,  513,  76.23, , , CAN, , , , , , , , , , , 
Carter Kaemingh,  514,  76.08, , , CAN, , , , , , , , , , , 
Ville Jukola,  515,  75.88, , , FIN, , , , , , , , , , , 
Niels Billiet,  516,  75.55, , , BEL, , , , , , , , , , , 
Samu Ahonen,  517,  75.44, , , FIN, , , , , , , , , , , 
Teruki Yoshida,  518,  75.41, , , JPN, , , , , , , , , , , 
Alexander Dale Nyqvist,  519,  75.08, , , NOR, , , , , , , , , , , 
Jalen Brandsoy,  520,  74.16, , , USA, , , , , , , , , , , 
Lewis Moore,  521,  74.05, , , GBR, , , , , , , , , , , 
Maximilian Bender,  522,  73.75, , , GER, , , , , , , , , , , 
Birkir Thor Arason,  523,  73.73, , , ISL, , , , , , , , , , , 
Lasse Steffensen,  524,  73.48, , , NOR, , , , , , , , , , , 
Karlo Deriban,  525,  73.47, , , MKD, , , , , , , , , , , 
Harald Gietzler,  526,  73.4, , , AUT, , , , , , , , , , , 
Daniel Paulicek,  527,  73.26, , 27, CZE, , , , , , , , , , , 
Edis Ozturk,  528,  72.52, , , BIH, , , , , , , , , , , 
Tate Schiele,  529,  72.52, , , CAN, , , , , , , , , , , 
Keita Fukami,  530,  71.93, , , JPN, , , , , , , , , , , 
Lukas Leuenberger,  531,  71.85, , , SUI, , , , , , , , , , , 
Cobi Campbell,  532,  71.42, , , CAN, , , , , , , , , , , 
Jet Hughes,  533,  71.4, , , NZL, , , , , , , , , , , 
Nahuel Springinsfeld,  534,  71.18, , , ARG, , , , , , , , , , , 
Kwang-Ki Lee,  534,  71.18, , 27, KOR, Goofy, 155cm, Gyeonggi-Do, , , , , , , , 
Jayce Downs,  536,  70.68, , , CAN, , , , , , , , , , , 
Evan Wrobel,  537,  70.42, , , USA, , , , , , , , , , , 
Zebastian Landmark,  538,  70.03, 32 Snowboard Boots | Lib Technologies | Union Bindings | , 29, SWE, Regular, 189, Leksand, kläppen, , , , , , , 
Baptiste Couderc,  539,  69.73, , , FRA, , , , , , , , , , , 
Gytis Vebra,  540,  69.66, , , LTU, , , , , , , , , , , 
Haavard Hagen,  541,  69.47, , , NOR, , , , , , , , , , , 
