riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter  
Haoyu Liu,  289,  114.96, , , CHN, , , , , , , , , , , 
Hudson Ayoubi,  290,  114.83, , , AUS, , , , , , , , , , , 
Kristian Salac,  291,  114.65, , , CZE, , , , , , , , , , , 
MacIej Zaczyk,  292,  114.15, , , POL, , , , , , , , , , , 
Manuel Fasola,  293,  113.75, , , ARG, , , , , , , , , , , 
Moritz Boll,  294,  112.66,  | , 19, SUI, , , , , , , , , , , 
Kosuke Muranaka,  295,  111.57, , , JPN, , , , , , , , , , , 
Ian Scherrer,  296,  110.39, , , CAN, , , , , , , , , , , 
Quentin George,  297,  110.29, , 18, CAN, , , , , , , , , , , 
Antoni Toledo,  298,  110.23, , , ESP, , , , , , , , , , , 
Lukas Rodriguez,  299,  110.11, , , ESP, , , , , , , , , , , 
Marten Kikas,  300,  109.82, , , EST, , , , , , , , , , , 
Paul Frischhut,  301,  109.57, , , AUT, , , , , , , , , , , 
Ladislav Hrstka,  302,  109.51, , 18, CZE, , , , , , , , , , , 
Noah Watson,  303,  109.45, , , CAN, , , , , , , , , , , 
Valentin Moreno,  304,  109.32, , , ARG, , , , , , , , , , , 
Anders Fornes,  305,  109.21, , , NOR, , , , , , , , , , , 
Andreas Granli-Sommerud,  306,  108.63, , , NOR, , , , , , , , , , , 
Sang-Jae Kim,  351,  95.29, , , KOR, , , , , , , , , , , 
Emil Sundsvold Bjonness,  352,  94.71, , , NOR, , , , , , , , , , , 
Topias Joensuu,  352,  94.71, , , FIN, , , , , , , , , , , 
Jackson Steed,  354,  94.59, , , CAN, , , , , , , , , , , 
Noe Petit,  355,  94.25, , , FRA, , , , , , , , , , , 
Zachary Batchelor,  356,  93.93, , , CAN, , , , , , , , , , , 
Christian Christensen,  357,  93.11, , , NOR, , , , , , , , , , , 
Wikohika Tui,  358,  93.11, , , NZL, , , , , , , , , , , 
Thorbjorn Haug,  359,  92.74, , , NOR, , , , , , , , , , , 
Leonardo Sitzia,  360,  92.3, , , GER, , , , , , , , , , , 
Petter Teksle,  361,  91.99, , , NOR, , , , , , , , , , , 
Steven Hoeksema,  362,  91.35, , , CAN, , , , , , , , , , , 
Genest Alexis,  363,  91.06, , , CAN, , , , , , , , , , , 
Mac Rogers,  364,  90.97, , , NZL, , , , , , , , , , , 
Blake Montalvo,  365,  90.87, , , CAN, , , , , , , , , , , 
Roahan Duncan,  366,  90.64, , , GBR, , , , , , , , , , , 
Jonas Junker,  367,  90.2, , 20, SUI, Goofy, , , , , , , , , , 
Dante Vera,  368,  90.13, , , ARG, , , , , , , , , , , 
Rune De Beats,  369,  89.85, , , BEL, , , , , , , , , , , 
Adrian Hovde Pettersen,  370,  88.98, , , NOR, , , , , , , , , , , 
Chase Layzell,  371,  88.79, , 18, CAN, , , , , , , , , , , 
Gavin Berghorn,  372,  88.76, , , USA, , , , , , , , , , , 
Nicholas Bridgman,  373,  88.47, Northwave | Smith | , 26, ITA, Goofy, 179, Jesolo Lido, Seiser Alm, , Nicholas Bridgman, , , , , 
Felix Axelsson,  374,  88.23, , , SWE, , , , , , , , , , , 
Nathan Pare,  375,  88.18, , , USA, , , , , , , , , , , 
Tyson Delaurier,  376,  87.85, , , CAN, , , , , , , , , , , 
Perron Justin,  377,  87.08, , , CAN, , , , , , , , , , , 
Yuuto Saito,  378,  86.55, , , JPN, , , , , , , , , , , 
Dylan Van Hoeij,  379,  86.38,  | , 16, BEL, Regular, , Lommel, , , , , , , , 
Leonhard Schwiersch,  380,  85.26, , , GER, , , , , , , , , , , 
Gabriel Kreienbühl,  381,  85.1, , , SUI, , , , , , , , , , , 
Wenlong Yang,  382,  84.84, , , CHN, , , , , , , , , , , 
George Malcolm,  383,  84.64, , , CAN, , , , , , , , , , , 
Siarhei Zabela,  384,  84.16, , , BLR, , , , , , , , , , , 
Connor Todd,  385,  83.7, , , CAN, , , , , , , , , , , 
Jace Dibben,  386,  83.56, , 19, CAN, , , , , , , , , , , 
Vegard Ulseth Sylte,  387,  83.36, , , NOR, , , , , , , , , , , 
Leon Framarin,  388,  82.95, , , ITA, , , , , , , , , , , 
Kaito Mukai,  389,  82.68, , , JPN, , , , , , , , , , , 
Linus Hannibal,  390,  82.56, , , GER, , , , , , , , , , , 
Julien Cannicionnie,  391,  82.45, , , CAN, , , , , , , , , , , 
Brooklyn Depriest,  392,  82.24, Volcom | , 14, USA, Regular, , Rocklin, , , , , , , , 
Volodymyr Kropov,  393,  82.22, , , UKR, , , , , , , , , , , 
Yuki Fujiwara,  394,  82.09, , , JPN, , , , , , , , , , , 
Yuki Fujiwara,  394,  82.09, , , JPN, , , , , , , , , , , 
Yuki Fujiwara,  394,  82.09, , , JPN, , , , , , , , , , , 
Simon Mikalsen Ostby,  397,  80.63, , , NOR, , , , , , , , , , , 
Rio Tucker,  398,  79.75, , , CAN, , , , , , , , , , , 
Simon Mikalsen Ostby,  397,  80.63, , , NOR, , , , , , , , , , , 
Wyatt Ernst,  400,  79.51, , , CAN, , , , , , , , , , , 
Chris Magee,  401,  78.83, , , USA, , , , , , , , , , , 
Maxim Lebedev,  402,  78.8, , , CZE, , , , , , , , , , , 
Tadeas Nedielka,  403,  78.48, , , SVK, , , , , , , , , , , 
Connor Kelly,  404,  78.39, , , USA, , , , , , , , , , , 
Roman Zanka,  405,  78.25, , , CZE, , , , , , , , , , , 
Grant Shambo,  406,  78.12, , , USA, , , , , , , , , , , 
Jonas Kroell,  407,  77.69, , , AUT, , , , , , , , , , , 
Pedro Pizarro,  408,  77.62, , , CHI, , , , , , , , , , , 
Alfred Sutton,  409,  77.51, , , FRA, , , , , , , , , , , 
Toranosuke Yonemura,  410,  77.34, , , JPN, , , , , , , , , , , 
Kieran Hicks,  411,  77.07, Lib Technologies | Von Zipper | , 10, CAN, Goofy, , , , , , , , , , 
Paul Pfrommer,  412,  76.95, , , GER, , , , , , , , , , , 
Chase Argue,  413,  76.93, , , CAN, , , , , , , , , , , 
Hyobin Kim,  414,  76.38, , , KOR, , , , , , , , , , , 
Indiana Wilson,  415,  76.23, , , CAN, , , , , , , , , , , 
Carter Kaemingh,  416,  76.08, , , CAN, , , , , , , , , , , 
Ilya Baskakov,  417,  75.65, , , RUS, , , , , , , , , , , 
Anderson Kallos,  418,  75.33, , , CAN, , , , , , , , , , , 
Dante Schipani,  419,  75.29, , , USA, , , , , , , , , , , 
Alexander Dale Nyqvist,  420,  75.08, , , NOR, , , , , , , , , , , 
Alexander Dale Nyqvist,  420,  75.08, , , NOR, , , , , , , , , , , 
Lewis Moore,  422,  74.05, , , GBR, , , , , , , , , , , 
Joonas Bergman,  423,  73.83, , 19, FIN, , , , , , , , , , , 
Maximilian Bender,  424,  73.75, , , GER, , , , , , , , , , , 
Lasse Steffensen,  425,  73.48, , , NOR, , , , , , , , , , , 
Karlo Deriban,  426,  73.47, , , MKD, , , , , , , , , , , 
Mauro Soic,  427,  72.51, , , CRO, , , , , , , , , , , 
Keita Fukami,  428,  71.93, , , JPN, , , , , , , , , , , 
Jaba Skhvediani,  429,  71.35, , , GEO, , , , , , , , , , , 
Nahuel Springinsfeld,  430,  71.18, , , ARG, , , , , , , , , , , 
Kwang-Ki Lee,  430,  71.18, , 26, KOR, Goofy, 155cm, Gyeonggi-Do, , , , , , , , 
Daia Okajima,  432,  71.01, , , JPN, , , , , , , , , , , 
Eito Ishida,  433,  70.99, , , JPN, , , , , , , , , , , 
Jayce Downs,  434,  70.68, , , CAN, , , , , , , , , , , 
Evan Wrobel,  435,  70.42, , , USA, , , , , , , , , , , 
Jared Mortenson,  436,  70.05, , , USA, , , , , , , , , , , 
Samuel Jaros,  437,  69.38, , , SVK, , , , , , , , , , , 
Jaime Castro,  438,  69.19, , , ESP, , , , , , , , , , , 
Charlie Bergantino,  439,  68.88, , , USA, , , , , , , , , , , 
Joyal Vincent,  440,  68.86, , , CAN, , , , , , , , , , , 
Thom Vogel,  441,  68.8, , , NED, , , , , , , , , , , 
Wesley Muresan,  442,  68.58, , , USA, , , , , , , , , , , 
Keitaro Hiraoka,  443,  67.81, , 21, JPN, Regular, 160cm, Osaka, Whistler, , https://www.facebook.com/profile.php?id=100005018760366&fref=ts, , , , , 
Kalle Repo,  444,  67.52, , , FIN, , , , , , , , , , , 
Jeremy Toews,  445,  67.51, , , CAN, , , , , , , , , , , 
Jake Adams,  446,  66.67, , , CAN, , , , , , , , , , , 
Faris Biogradlic,  446,  66.67, , , BIH, , , , , , , , , , , 
Kael Hill,  446,  66.67, DC | Endeavor | Spy | , 30, CAN, Goofy, 5ft.7, Cochrane, , , , , , , , 
Niclas Bothe,  446,  66.67, , 17, GER, Goofy, , , , , , , , , , 
Nahuel Tagliaferro,  450,  66.61, , , AND, , , , , , , , , , , 
Sunny Steele,  451,  66.48, , 16, AUS, , , , , , , , , , , 
Haavard Hagen,  452,  66.45, , , NOR, , , , , , , , , , , 
Leo Bietenholz,  453,  66.38, , , SUI, , , , , , , , , , , 
Morten Kleivdal,  454,  65.72, K2 Snowboarding | Von Zipper | , 29, NOR, Regular, 183, Geilo, Geilo| Norway, , , , , , , 
Maxson Chen,  455,  65.67, , , AUS, , , , , , , , , , , 
Julian Sverresvold,  456,  65.43, , , NOR, , , , , , , , , , , 
Haruka Konuma,  457,  65.17, , , JPN, , , , , , , , , , , 
Hinata Sakaue,  458,  65.04, , , JPN, , , , , , , , , , , 
Timon Matena,  459,  64.5, , , CZE, , , , , , , , , , , 
Benjamin Yanez,  460,  64.07, , 17, CHI, , , , , , , , , , , 
Nolan Hoenie,  461,  63.66, , , USA, , , , , , , , , , , 
Ignasio Perez Guerra,  462,  63.57, , , AND, , , , , , , , , , , 
Yuri Chemodurov,  463,  63.53, , 29, RUS, Goofy, , Yushno-Sakhalinsk, , , , , , , , 
Yuri Chemodurov,  463,  63.53, , 29, RUS, Goofy, , Yushno-Sakhalinsk, , , , , , , , 
Karl Urquhart,  465,  63.07, , , CAN, , , , , , , , , , , 
Michael Dammert,  466,  63.04, , , GER, , , , , , , , , , , 
Reynar Hlynsson,  467,  63.01, , , ISL, , , , , , , , , , , 
Petter Karoliussen,  468,  62.88, , , NOR, , , , , , , , , , , 
Bojan Skenderovski,  469,  62.63, , , MKD, , , , , , , , , , , 
Juhani Huuhtanen,  470,  62.39, , , FIN, , , , , , , , , , , 
Sam Fawcett,  471,  62.03, , , CAN, , , , , , , , , , , 
Marcello Grassis,  472,  61.66, , , ITA, , , , , , , , , , , 
Marcello Grassis,  472,  61.66, , , ITA, , , , , , , , , , , 
Lukas Leuenberger,  474,  61.27, , , SUI, , , , , , , , , , , 
James Foord-Kelcey,  475,  61.25, , , CAN, , , , , , , , , , , 
Gunnar Bergstrom,  476,  61.18, , , USA, , , , , , , , , , , 
Leonardo Cerato,  477,  60.94, , , AUT, , , , , , , , , , , 
Gunnar Bergstrom,  476,  61.18, , , USA, , , , , , , , , , , 
Vinson Chen,  479,  60.73, , , AUS, , , , , , , , , , , 
Tenshin Nishizawa,  480,  60.47, , , JPN, , , , , , , , , , , 
Fin Bremner,  481,  59.94,  | , 20, GBR, Goofy, 5ft 9, Aberdeen, Cairngorm Mountains| Scotland, www.finbremner.com, , www.twitter.com/finbremner, , , , 
Niko Pavlakos,  482,  59.7, , , CAN, , , , , , , , , , , 
Cole Silverthorn,  483,  59.68, , 16, CAN, Goofy, , , , , , , , , , 
Matt McCarthy,  484,  59.62, , , CAN, , , , , , , , , , , 
Ryoma Saito,  485,  59.19, , , JPN, , , , , , , , , , , 
Miki Pajer,  486,  59.15, Analog | Anon Optics | Burton Snowboards | , 22, CZE, Goofy, , , , , , , , , , 
Lotz Peter,  487,  59.1, , , GER, , , , , , , , , , , 
Uladzislau Andrasovich,  488,  59.08, , , BLR, , , , , , , , , , , 
Lars Häfliger,  489,  58.83, , , SUI, , , , , , , , , , , 
Lys Fedorowycz,  490,  58.69, , , USA, , , , , , , , , , , 
Romain Allemand,  491,  58.52, , , FRA, , , , , , , , , , , 
Jet Hughes,  492,  58.08, , , NZL, , , , , , , , , , , 
Jalen Brandsoy,  493,  58.08, , , USA, , , , , , , , , , , 
Txema Mazet Brown,  494,  57.82, , , NZL, , , , , , , , , , , 
Connor George,  495,  57.56, , , CAN, , , , , , , , , , , 
Gabriel Sequeira,  496,  57.52, , , CAN, , , , , , , , , , , 
Aris Kyriazis,  497,  57.34, , , GER, , , , , , , , , , , 
Ryder Bollock,  498,  56.81, , , USA, , , , , , , , , , , 
Cyrus Scanland,  499,  56.75, , , CAN, , , , , , , , , , , 
Nagisa Fukada,  500,  56.72, , , JPN, , , , , , , , , , , 
Zak Baikie,  501,  56.66, , , NZL, , , , , , , , , , , 
London Albrecht,  502,  56.63, , , USA, , , , , , , , , , , 
Tino Stojak,  503,  56.46, , , CRO, , , , , , , , , , , 
Todor Jovic,  504,  56.42, , , SRB, , , , , , , , , , , 
Boris Mouton,  505,  56.28, Monster Energy | Vans | , 23, SUI, Goofy, 5ft.8in., Bex, Thyon central Camps, , www.facebook.com/boris.mouton, www.twitter.com/borismouton, , , , 
Yannick Boudjelal,  506,  55.67, , 34, DZA, Goofy, , , , , , , , , , 
Neko Reimer,  507,  55.55, , , NZL, , , , , , , , , , , 
Niels Billiet,  508,  55.5, , , BEL, , , , , , , , , , , 
Cobi Campbell,  509,  55.48, , , CAN, , , , , , , , , , , 
Adam Djunaedi,  510,  55.43, , , CAN, , , , , , , , , , , 
Yua Kakimoto,  511,  55.36, , , JPN, , , , , , , , , , , 
Joshua Robertson-Hahn,  512,  55.25, , , AUS, , , , , , , , , , , 
Fuki Oki,  513,  55.25, , , JPN, , , , , , , , , , , 
Gian Andrin Biele,  514,  55.07, 015 Boards & Lifestyle | , 16, SUI, , , Stallikon, LAAX, , , , , , , 
Mafuyu Shirakawa,  515,  55.07, , , JPN, , , , , , , , , , , 
Shuhei Kiyomizu,  516,  54.84, , , JPN, , , , , , , , , , , 
Kota Iwasaki,  517,  54.76, , , JPN, , , , , , , , , , , 
Maximilian Deutinger,  518,  54.6, , , AUT, , , , , , , , , , , 
Mitchell Krogt  Van Der,  519,  54.22, , , NED, , , , , , , , , , , 
Shu Tomabechi,  520,  54.19, , , JPN, , , , , , , , , , , 
Edis Ozturk,  521,  54, , , BIH, , , , , , , , , , , 
Honorio Le Fur,  522,  53.8, , , FRA, , , , , , , , , , , 
Josh Shegelman,  522,  53.8, , , CAN, , , , , , , , , , , 
Felipe Banados,  524,  53.77, , , CHI, , , , , , , , , , , 
Yuki Ito,  525,  53.74, , , JPN, , , , , , , , , , , 
Felix Widning,  526,  53.56, Bataleon | , 29, AUT, Regular, 180, Zlan, Dobratsch, www.instagram.com/flex_snow/, www.facebook.com/flexsnowbo/, , , , , 
Mihail Minkov,  527,  53.35, , 16, BUL, , , , , , , , , , , 
Haavard Kongshem,  528,  52.97, , , NOR, , , , , , , , , , , 
Aatu Partanen,  529,  52.76, , , FIN, , , , , , , , , , , 
Colton McHatten,  530,  52.63, , , CAN, , , , , , , , , , , 
Daniel Volopich,  531,  52.48, , , CZE, , , , , , , , , , , 
Darek Bergmann,  532,  52.41,  | , 29, CZE, Regular, , Príchovice, , , , , , , , 
Marko Petrovski,  533,  52.23, , , MKD, , , , , , , , , , , 
Tim Gustavsson,  534,  51.53, , , NOR, , , , , , , , , , , 
Aleksi Nevakivi,  535,  51.08,  | , 20, FIN, Goofy, , , , , , , , , , 
Esteban Luengo,  536,  51.07, , , ARG, , , , , , , , , , , 
Sora Ozahata,  537,  51.03, , , JPN, , , , , , , , , , , 
Rocco Jamieson,  538,  50.66, , , NZL, , , , , , , , , , , 
Barack Davidson,  539,  50.41, , , CAN, , , , , , , , , , , 
Jakob Peter,  540,  50.24, , , GER, , , , , , , , , , , 
Lukas Delago,  541,  50.21, , , GER, , , , , , , , , , , 
Fran Legac,  542,  50.17, , , CRO, , , , , , , , , , , 
Jadon Wiffen,  543,  50.09, , , CAN, , , , , , , , , , , 
Einar Agust Asmundsson,  544,  49.95, , , ISL, , , , , , , , , , , 
Xinjie Jiang,  545,  49.86, , , CHN, , , , , , , , , , , 
Linus Angstl,  546,  49.8, , , GER, , , , , , , , , , , 
Sam Smits,  547,  49.59, , , CAN, , , , , , , , , , , 
Clay Copenhaver,  548,  49.57, , , USA, , , , , , , , , , , 
Seongjun Choi,  549,  49.25, , , KOR, , , , , , , , , , , 
Ognjen Radulovic,  550,  49.22, , , SRB, , , , , , , , , , , 
Griffin Levy,  551,  49.1, , , CAN, , , , , , , , , , , 
Vicente Banados,  552,  49.01, , , CHI, , , , , , , , , , , 
Jake Westfall,  553,  48.93, , , USA, , , , , , , , , , , 
Riku Masuda,  554,  48.59, , , JPN, , , , , , , , , , , 
Gonzalo Daniel Baez,  555,  48.13, , , ARG, , , , , , , , , , , 
Tommy Osmond,  556,  47.68, , , GBR, , , , , , , , , , , 
Marc Fux,  557,  46.98, , , GER, , , , , , , , , , , 
Oscar Ney,  558,  46.97, , , FRA, , , , , , , , , , , 
Gian Sutter,  559,  46.74,  | , 21, SUI, Goofy, 1.80, Pfäffikon, Scuol Switzerland, , , , , , , 
Nicky Deltrap,  560,  46.71, , , NED, , , , , , , , , , , 
Lennox Koenig,  561,  46.55, , , AUT, , , , , , , , , , , 
Bart Falhaber,  562,  46.31, , , NED, , , , , , , , , , , 
Hayden Holland,  563,  46.23, , , CAN, , , , , , , , , , , 
Mason Hamilton,  564,  46.22, , , CAN, , , , , , , , , , , 
Augusto Viscarro,  565,  46.19, , , ARG, , , , , , , , , , , 
Vladislav Petrov,  566,  45.89, , , RUS, , , , , , , , , , , 
Toma Shimizu,  567,  45.79, , , JPN, , , , , , , , , , , 
Shinpei Asaga,  568,  45.64, Von Zipper | , 30, JPN, Regular, 176cm, , TOKYO, sbn.japaho.com/sbn/blog/shimpei/, , www.twitter.com/shimpei_asaga, , , , 
Arnor Dagur Thoroddsson,  568,  45.64, , , ISL, , , , , , , , , , , 
Elias Lehner,  570,  45.13, , , SUI, , , , , , , , , , , 
Amar Karahasanovic,  571,  45.04, , , BIH, , , , , , , , , , , 
Sami Kallo,  572,  44.98, , , FIN, , , , , , , , , , , 
Byung-Yun Lee,  572,  44.98, , , KOR, , , , , , , , , , , 
Vladislav Edelman,  574,  44.69, , , SRB, , , , , , , , , , , 
Landen Matt,  575,  44.6, , , USA, , , , , , , , , , , 
Florian Mueller,  576,  44.54, , , GER, , , , , , , , , , , 
Ioannis Doumos,  577,  44.5, , , GRE, , , , , , , , , , , 
Kotaro Takahashi,  578,  44.49, , , JPN, , , , , , , , , , , 
Jake Niwa,  579,  44.44, , , CAN, , , , , , , , , , , 
Luke Landreth,  580,  44.42, , , CAN, , , , , , , , , , , 
Luke Landreth,  580,  44.42, , , CAN, , , , , , , , , , , 
Alec Little,  582,  44.19, , , USA, , , , , , , , , , , 
Brogan Wysock,  583,  44.14, , , USA, , , , , , , , , , , 
Benjamin Lunde,  584,  44.07, , , NOR, , , , , , , , , , , 
Mark Teymurov,  585,  43.91, , 22, RUS, , , , , , , , , , , 
Tucker Baribault,  586,  43.18, , , USA, , , , , , , , , , , 
Niko Ahola,  587,  43.16, , , FIN, , , , , , , , , , , 
Tim Hofberger,  588,  43.13, , , GER, , , , , , , , , , , 
Logan Sarsland,  589,  43.01, , , USA, , , , , , , , , , , 
Dillon Henricksen,  590,  42.66, , , USA, , , , , , , , , , , 
Peder Apelland Svendsen,  591,  41.92, , , NOR, , , , , , , , , , , 
Zacharyah Ayyobi,  592,  41.91, , , CAN, , , , , , , , , , , 
Borgthor Johannsson,  593,  41.81, , , ISL, , , , , , , , , , , 
John Connolly,  594,  41.34, , , USA, , , , , , , , , , , 
Benjamin Parich,  595,  41.17, , , AUT, , , , , , , , , , , 
Patrick Hofmann,  595,  41.17,  | , 19, SUI, Goofy, , , , patrick.notizia.ch/, , , , , , 
Alex Atno,  597,  41.15, , , USA, , , , , , , , , , , 
Davin Fuchs,  598,  41.13, , , AUT, , , , , , , , , , , 
Martin Visser,  599,  40.9, , , CAN, , , , , , , , , , , 
David Stock,  600,  40.88, , , AUT, , , , , , , , , , , 
Nicolas Schütz,  601,  40.32, , , SUI, , , , , , , , , , , 
Ben Wheeler,  602,  39.94, , , CAN, , , , , , , , , , , 
Tim Kurstatscher,  603,  39.72, , , GER, , , , , , , , , , , 
Jonas Krauer,  604,  39.7, , , CZE, , , , , , , , , , , 
Yuto Tsurusawa,  605,  39.65, , , JPN, , , , , , , , , , , 
Longen Qin,  606,  39.44, , , CHN, , , , , , , , , , , 
Baptiste Couderc,  607,  39.39, , , FRA, , , , , , , , , , , 
Joseph Jed,  608,  39.08, , , CAN, , , , , , , , , , , 
Patrick Gruber,  609,  38.88, Smith | Voelkl | , , AUT, , , , , , , , , , , 
Liam Seljenes,  610,  38.71, , , NOR, , , , , , , , , , , 
Samu Ahonen,  611,  38.68, , , FIN, , , , , , , , , , , 
Noah Shaw,  612,  38.68, , , CAN, , , , , , , , , , , 
Max Wood,  613,  38.66, , , CAN, , , , , , , , , , , 
Niels Valkenborgh,  614,  38.42, , , BEL, , , , , , , , , , , 
Federico Olivieri,  615,  38.4, , , ITA, , , , , , , , , , , 
Kaden Kelly,  616,  38.39, , , USA, , , , , , , , , , , 
Bjarki Freyr Olafsson,  616,  38.39, , , ISL, , , , , , , , , , , 
Ward Van Tittelboom,  618,  38.23, , , BEL, , , , , , , , , , , 
Andrin Knellwolf,  618,  38.23, , , SUI, , , , , , , , , , , 
Jan Clara Ventosa,  620,  37.66, , , ESP, , , , , , , , , , , 
Jonas Gaces,  621,  37.62, , , CAN, , , , , , , , , , , 
Jonas Gaces,  621,  37.62, , , CAN, , , , , , , , , , , 
Jasper Grimm,  623,  37.47, , , USA, , , , , , , , , , , 
Cal Gibson,  624,  37.35, , , USA, , , , , , , , , , , 
Joao Teixeira,  625,  37.3, , , BRA, , , , , , , , , , , 
Jordan Rudgley,  626,  37.28, , , NZL, , , , , , , , , , , 
Owen Crossmon,  627,  37.27, , , USA, , , , , , , , , , , 
Philipp Bormann,  628,  37.24, , , GER, , , , , , , , , , , 
Oscar Mattart,  629,  37.23, , , BEL, , , , , , , , , , , 
Eryll Brennan,  630,  37.21, , , USA, , , , , , , , , , , 
Eryll Brennan,  630,  37.21, , , USA, , , , , , , , , , , 
Ethan Rawdon-Harris,  632,  37.09, , , CAN, , , , , , , , , , , 
Youngkyo Won,  633,  36.91, , , KOR, , , , , , , , , , , 
Tom Venderotte,  634,  36.89, , 18, FRA, , , , , , , , , , , 
Niklas Soudunsaari,  635,  36.87, , , FIN, , , , , , , , , , , 
Yuto Kimura,  636,  36.72, , , JPN, , , , , , , , , , , 
Nikolay Markov,  637,  36.44, , , RUS, , , , , , , , , , , 
Gage Selzler,  638,  36.42, , , CAN, , , , , , , , , , , 
Noah Griesheimer,  639,  36.39, , , USA, , , , , , , , , , , 
Wendel Willemse,  640,  36.29, , , NED, , , , , , , , , , , 
Aron Snorri Davidsson,  641,  36.25, , , ISL, , , , , , , , , , , 
Peresvet Stepanov,  642,  36.02, , , RUS, , , , , , , , , , , 
Luis Neubauer,  643,  36, , , GER, , , , , , , , , , , 
Lenz Ganserer,  644,  35.93, , , GER, , , , , , , , , , , 
Garrett Henderson,  645,  35.85, , , USA, , , , , , , , , , , 
Dominik Veselka,  646,  35.8, , , CZE, , , , , , , , , , , 
Evan Hunter,  647,  35.78, , , CAN, , , , , , , , , , , 
Liam Denney,  648,  35.74, , , CAN, , , , , , , , , , , 
Marko Darkov,  649,  35.51, , , MKD, , , , , , , , , , , 
Martti Iivonen,  650,  35.37, , , FIN, , , , , , , , , , , 
Bastian Gebhard,  651,  35.34, , , GER, , , , , , , , , , , 
Sigfinnur Bodvarsson,  652,  35.3, , , ISL, , , , , , , , , , , 
Nemanja Pesic,  653,  35.21, , , SRB, , , , , , , , , , , 
Santiago Figueras,  654,  35.18, , , ARG, , , , , , , , , , , 
Jordan MacIsaac,  655,  35.14, , , CAN, , , , , , , , , , , 
Mateo Gordillo-Faulkner,  656,  35.12, , , CAN, , , , , , , , , , , 
Lake Fleischer,  657,  34.93, , , USA, , , , , , , , , , , 
Sam Riley,  658,  34.89, , , USA, , , , , , , , , , , 
Sena Tajiri,  659,  34.72, , , JPN, , , , , , , , , , , 
Daniel Gillis,  660,  34.49, , , CAN, , , , , , , , , , , 
Jonathan Loor Kutmon,  661,  34.42, , , AUT, , , , , , , , , , , 
Martin Jozsa,  662,  34.29, , , SVK, , , , , , , , , , , 
Marty Boyd,  663,  34.27, , , USA, , , , , , , , , , , 
Sam Carpenter,  664,  34.1, , , CAN, , , , , , , , , , , 
Moritz Breu,  665,  34.01, , 16, GER, Goofy, , , , , , , , , , 
Edoardo Giovannini,  666,  33.91, , , ITA, , , , , , , , , , , 
August Jensen,  667,  33.89, , , DEN, , , , , , , , , , , 
Markus Wendl,  668,  33.84, , , GER, , , , , , , , , , , 
Ryusei Okado,  669,  33.79, , , JPN, , , , , , , , , , , 
Taisei Okamoto,  670,  33.71, , , JPN, , , , , , , , , , , 
Stian Hallingstad,  671,  33.64, , , NOR, , , , , , , , , , , 
Lewis Bunce,  672,  33.63, , , CAN, , , , , , , , , , , 
Juho Virsunen,  673,  33.53, , , FIN, , , , , , , , , , , 
Jesse Hamric,  674,  33.41, , , USA, , , , , , , , , , , 
Shengxin Liu,  675,  33.4, , , CHN, , , , , , , , , , , 
Teruki Yoshida,  676,  33.33, , , JPN, , , , , , , , , , , 
Ignacio Perez,  676,  33.33, , , AND, , , , , , , , , , , 
Elias Haemaelaeinen,  676,  33.33, , , FIN, , , , , , , , , , , 
Yuga Kawata,  676,  33.33, , , JPN, , , , , , , , , , , 
Jesse Willemsen,  680,  33.14, , , NED, , , , , , , , , , , 
Koy Ernst,  681,  33.14, , , CAN, , , , , , , , , , , 
Yuki Yamauchi,  682,  32.75, , , JPN, , , , , , , , , , , 
Matyas Skandera,  683,  32.66, , , CZE, , , , , , , , , , , 
Dexter Heninger,  684,  32.53, , , CAN, , , , , , , , , , , 
Asgeir Bjarni Eythorsson,  685,  32.51, , , ISL, , , , , , , , , , , 
Thomas Salter,  686,  32.5, , , CAN, , , , , , , , , , , 
Connor Tulloch,  687,  32.25, , , CAN, , , , , , , , , , , 
Markus Wedenig,  688,  32.12, , , AUT, , , , , , , , , , , 
Garik Arutyunov,  689,  32.12, , , BEL, , , , , , , , , , , 
Kota Mizukami,  690,  31.88, , , JPN, , , , , , , , , , , 
Jamie Campbell,  691,  31.54, , , CAN, , , , , , , , , , , 
Affan Zisko,  692,  31.47, , , BIH, , , , , , , , , , , 
Jack Doiron,  693,  31.37, , , CAN, , , , , , , , , , , 
Bjornjo Jenssen,  694,  31.28, , , NOR, , , , , , , , , , , 
Luke Putys-Gallagher,  695,  31.17, , , LTU, , , , , , , , , , , 
Jackie Clemente,  696,  31.09, , , USA, , , , , , , , , , , 
Mikhail Fomchenko,  697,  31.08, , , RUS, , , , , , , , , , , 
Theodor Gaulin Sorensen,  698,  31.06, , , NOR, , , , , , , , , , , 
Yuma Tani,  699,  31.03, , , JPN, , , , , , , , , , , 
Justo Moller,  700,  31.01, , , ARG, , , , , , , , , , , 
Charlie Lane,  701,  30.99, , , GBR, , , , , , , , , , , 
Changjun Feng,  702,  30.94, , 25, CHN, Goofy, , Beijing, , , , , , , , 
Jere Hietikko,  703,  30.91, , , FIN, , , , , , , , , , , 
Ney Arthur,  703,  30.91, , , FRA, , , , , , , , , , , 
Sylas Trask,  705,  30.89, , , USA, , , , , , , , , , , 
Liam Tynan,  706,  30.84, , , GBR, , , , , , , , , , , 
Bennett Flynn,  707,  30.81, , , USA, , , , , , , , , , , 
Hiroto Ito,  708,  30.7, , , JPN, , , , , , , , , , , 
